date_of,ctl_loading_date,quan,quan_no_weak_dub,quan_no_dub,agg_quan,agg_quan_no_week_dub,agg_quan_no_dub
2018-11-28,2018-11-28,436,425,408,436,425,408
2023-12-11,2023-12-11,457,429,423,457,429,423
2021-11-01,2021-11-01,458,435,427,458,435,427
2023-10-16,2023-10-16,443,416,409,443,416,409
2019-08-01,2019-08-01,468,453,438,468,453,438
2018-11-06,2018-11-06,488,471,456,488,471,456
2018-07-18,2018-07-18,458,446,429,458,446,429
2019-06-19,2019-06-19,475,456,445,475,456,445
2019-07-18,2019-07-18,485,467,453,485,467,453
2022-06-22,2022-06-26,431,410,404,431,410,404
2019-10-24,2022-12-12,23,23,23,487,468,435
2022-07-09,2022-07-09,458,434,424,458,434,424
2022-06-23,2022-06-26,442,419,413,442,419,413
2021-10-01,2023-03-19,24,24,24,470,443,417
2020-06-08,2020-06-08,424,405,398,424,405,398
2023-08-21,2024-01-13,3,3,3,482,453,444
2021-02-15,2021-02-15,458,436,429,458,436,429
2022-05-10,2022-05-10,494,466,458,494,466,458
2022-01-12,2022-01-12,434,410,406,434,410,406
2022-09-02,2022-09-02,464,439,430,464,439,430
2018-09-30,2018-09-30,421,411,394,421,411,394
2022-07-06,2022-07-06,489,462,453,489,462,453
2021-02-13,2021-02-13,458,437,429,458,437,429
2021-02-27,2021-02-27,488,462,452,488,462,452
2020-01-03,2020-01-05,395,380,371,459,441,430
2020-09-29,2020-09-29,421,401,397,421,401,397
2020-02-04,2020-02-04,458,441,430,458,441,430
2020-06-10,2020-06-10,423,402,397,423,402,397
2019-10-18,2019-10-18,454,438,425,454,438,425
2019-07-28,2019-07-28,458,441,428,458,441,428
2023-01-10,2023-01-10,443,416,410,443,416,410
2018-10-02,2018-10-02,477,461,445,477,461,445
2023-04-25,2023-04-25,464,435,430,464,435,430
2021-03-28,2021-03-31,480,456,447,480,456,447
2018-04-16,2018-04-16,484,471,451,484,471,451
2023-04-26,2023-04-26,453,423,419,453,423,419
2020-04-02,2020-04-02,458,440,430,458,440,430
2023-11-05,2023-11-05,468,441,434,468,441,434
2022-05-17,2022-05-20,458,432,425,458,432,425
2022-09-01,2022-09-01,483,454,447,483,454,447
2023-02-02,2023-02-05,448,420,414,448,420,414
2019-04-16,2023-06-08,18,18,18,476,461,429
2024-01-25,2024-01-25,456,430,422,456,430,422
2020-02-19,2020-02-19,458,440,430,458,440,430
2020-02-05,2020-02-05,458,440,430,458,440,430
2019-03-05,2019-03-05,479,465,448,479,465,448
2019-01-15,2019-01-15,458,440,428,458,440,428
2022-10-04,2022-10-04,426,403,399,426,403,399
2019-08-23,2019-08-23,458,438,428,458,438,428
2021-09-03,2021-09-03,458,434,427,458,434,427
2018-05-09,2018-05-09,463,455,433,463,455,433
2020-06-19,2020-06-19,458,434,429,458,434,429
2021-01-07,2021-01-07,458,433,429,458,433,429
2018-06-17,2018-06-17,478,469,447,478,469,447
2023-04-14,2023-04-14,458,430,424,458,430,424
2020-10-07,2020-10-07,419,401,395,419,401,395
2018-10-23,2018-10-23,461,443,431,461,443,431
2018-11-07,2018-11-07,444,432,415,444,432,415
2021-12-29,2021-12-29,458,433,426,458,433,426
2023-05-28,2023-09-20,2,2,2,456,426,420
2023-01-19,2023-01-19,457,433,423,457,433,423
2021-07-29,2021-07-29,441,421,413,441,421,413
2023-07-21,2023-07-21,428,402,397,428,402,397
2024-01-29,2024-01-29,458,425,424,458,425,424
2022-04-27,2022-04-27,473,450,438,473,450,438
2021-07-19,2021-07-19,445,424,416,445,424,416
2020-02-09,2020-02-09,497,474,463,497,474,463
2018-07-28,2018-07-28,458,443,429,458,443,429
2018-11-25,2018-11-25,466,454,435,466,454,435
2020-10-06,2020-10-06,441,419,415,441,419,415
2022-07-29,2022-07-29,445,423,414,445,423,414
2018-04-22,2018-04-22,432,422,404,432,422,404
2018-05-20,2018-05-20,458,441,428,458,441,428
2022-01-27,2022-01-27,458,431,426,458,431,426
2023-04-08,2023-04-08,375,356,354,375,356,354
2020-07-17,2020-07-17,461,439,431,461,439,431
2020-09-17,2020-09-17,476,453,446,476,453,446
2020-11-04,2020-11-07,480,461,448,480,461,448
2020-02-01,2020-02-01,444,426,416,444,426,416
2020-10-27,2020-10-27,458,437,429,458,437,429
2018-09-24,2018-09-24,458,446,428,458,446,428
2020-12-04,2020-12-04,479,456,447,479,456,447
2020-03-18,2020-03-18,442,419,414,442,419,414
2023-07-20,2023-07-20,495,465,459,495,465,459
2023-06-22,2023-06-22,424,399,393,424,399,393
2020-06-09,2020-06-09,427,407,401,427,407,401
2022-03-18,2022-03-18,156,152,152,156,152,152
2021-12-20,2021-12-20,458,433,426,458,433,426
2023-09-13,2023-09-13,458,431,424,458,431,424
2020-02-23,2020-02-23,462,444,434,462,444,434
2023-05-12,2023-05-12,489,459,453,489,459,453
2021-02-19,2021-02-19,453,431,424,453,431,424
2023-01-24,2023-01-24,440,414,408,440,414,408
2018-12-26,2018-12-26,445,429,416,445,429,416
2019-02-06,2019-02-06,458,444,429,458,444,429
2020-11-22,2020-11-22,484,457,451,484,457,451
2018-09-18,2018-09-18,497,483,464,497,483,464
2022-12-21,2022-12-21,458,431,424,458,431,424
2022-04-18,2022-04-18,458,432,424,458,432,424
2024-01-20,2024-01-20,494,464,458,494,464,458
2023-03-04,2023-03-08,487,458,451,487,458,451
2023-08-24,2023-08-24,443,415,409,443,415,409
2022-05-13,2022-05-13,458,430,425,458,430,425
2019-10-23,2019-10-23,446,429,418,446,429,418
2023-12-08,2023-12-08,471,444,436,471,444,436
2022-03-11,2022-03-11,492,463,456,492,463,456
2021-10-07,2021-10-07,442,416,413,442,416,413
2022-01-06,2022-01-06,458,434,426,458,434,426
2023-05-25,2023-05-25,472,445,437,472,445,437
2018-07-06,2018-07-06,471,457,441,471,457,441
2022-04-12,2022-04-12,458,435,425,458,435,425
2019-11-07,2019-11-07,458,438,429,458,438,429
2020-04-24,2020-04-24,449,431,421,449,431,421
2018-12-11,2018-12-11,450,438,421,450,438,421
2023-03-20,2023-03-20,494,465,458,494,465,458
2019-04-07,2019-04-07,458,442,429,458,442,429
2018-07-26,2018-07-26,458,448,429,458,448,429
2018-07-09,2018-07-09,486,474,454,486,474,454
2021-07-28,2021-07-28,429,408,403,429,408,403
2020-12-23,2020-12-23,488,468,453,488,468,453
2022-01-25,2022-01-25,458,435,426,458,435,426
2021-08-13,2021-08-13,458,435,427,458,435,427
2019-09-07,2019-09-07,458,441,429,458,441,429
2018-05-11,2018-05-11,494,480,461,494,480,461
2020-02-18,2020-02-22,144,139,135,458,438,430
2018-04-18,2018-04-18,458,446,428,458,446,428
2022-01-30,2022-01-30,446,425,416,446,425,416
2022-04-23,2022-04-23,458,431,424,458,431,424
2020-01-02,2020-01-02,497,476,463,497,476,463
2020-12-18,2020-12-18,458,435,429,458,435,429
2020-12-08,2020-12-08,478,456,446,478,456,446
2020-08-28,2020-08-28,482,456,450,482,456,450
2023-11-12,2023-11-12,431,406,400,431,406,400
2022-03-28,2023-02-13,3,3,3,484,457,446
2022-09-18,2022-09-19,458,432,424,458,432,424
2021-05-31,2021-05-31,465,442,434,465,442,434
2022-04-06,2022-04-06,435,412,407,435,412,407
2022-03-02,2022-03-02,458,435,426,458,435,426
2020-08-02,2020-08-02,458,436,430,458,436,430
2021-06-14,2021-06-14,458,434,428,458,434,428
2020-06-28,2020-06-28,443,424,415,443,424,415
2022-03-15,2022-03-15,422,402,396,422,402,396
2020-08-30,2020-08-30,419,397,394,419,397,394
2022-06-19,2022-06-19,458,430,424,458,430,424
2023-01-12,2023-01-12,450,422,416,450,422,416
2019-02-02,2019-02-02,438,429,410,438,429,410
2022-07-27,2022-07-27,478,450,443,478,450,443
2023-12-19,2023-12-19,63,63,63,63,63,63
2020-09-09,2020-09-09,490,469,457,490,469,457
2019-10-10,2019-10-10,458,442,429,458,442,429
2019-06-22,2019-06-22,473,456,443,473,456,443
2018-08-09,2018-08-09,466,454,436,466,454,436
2020-12-10,2020-12-10,492,468,456,492,468,456
2020-08-16,2020-08-16,442,422,415,442,422,415
2020-12-20,2020-12-20,427,408,401,427,408,401
2023-06-01,2023-06-01,442,414,408,442,414,408
2021-01-08,2022-02-16,7,7,7,488,465,448
2020-04-17,2020-04-17,458,437,430,458,437,430
2019-04-18,2019-04-18,466,451,436,466,451,436
2022-08-21,2022-08-21,458,430,424,458,430,424
2023-12-25,2023-12-25,458,427,424,458,427,424
2021-06-07,2021-06-10,309,298,296,309,298,296
2021-10-18,2021-10-18,472,446,437,472,446,437
2023-10-24,2023-10-28,441,414,408,458,430,424
2019-05-07,2019-05-07,458,443,429,458,443,429
2023-02-17,2023-02-17,458,432,424,458,432,424
2022-11-13,2022-11-13,427,405,399,427,405,399
2021-11-24,2021-11-24,458,435,426,458,435,426
2023-09-26,2023-09-26,421,400,392,421,400,392
2023-04-28,2023-04-28,448,423,414,448,423,414
2020-10-08,2020-10-08,479,459,448,479,459,448
2020-05-03,2020-05-03,490,467,457,490,467,457
2022-01-18,2022-01-18,448,428,418,448,428,418
2023-03-26,2023-03-26,458,432,424,458,432,424
2019-03-06,2019-03-06,458,443,429,458,443,429
2021-10-10,2021-10-10,458,433,427,458,433,427
2020-07-06,2020-07-11,439,418,411,439,418,411
2018-10-14,2018-10-14,491,479,459,491,479,459
2019-12-07,2019-12-07,458,436,429,458,436,429
2022-03-27,2022-04-01,466,439,431,466,439,431
2024-01-12,2024-01-12,429,402,398,429,402,398
2020-12-14,2020-12-17,458,439,429,458,439,429
2019-12-26,2019-12-26,458,438,429,458,438,429
2022-10-16,2022-10-17,453,424,419,453,424,419
2022-08-22,2022-08-22,449,425,418,449,425,418
